,Compound name,Compound name_ori,Ratio,Tumor vs Normal_p.value
256,L-Glutamine,glutamine,1.3682,0.0000000000 
257,Glutarate,glutarate,1.2632,0.0286925251 
258,glutarylcarnitine,glutarylcarnitine,0.7999,0.2312017933 
259,GSSG,"glutathione, oxidized",6.607,0.0065076104 
260,GSH,GSH,15.8631,0.0000369512 
261,D-Glycerate,glycerate,0.8603,0.0207127784 
262,Glycerol,glycerol,1.0161,0.8170473715 
263,glycerol 2-phosphate,glycerol 2-phosphate,1.5942,0.0000478012 
264,glycerol 3-phosphate,glycerol 3-phosphate,0.8592,0.0813128138 
265,glycerophosphoethanolamine,glycerophosphoethanolamine,0.4503,0.0000018250 
266,glycerophosphorylcholine,glycerophosphorylcholine,1.5828,0.0000000609 
267,Glycine,glycine,0.855,0.0022705795 
269,glycolate,glycolate,0.7121,0.0000000000 
270,glycolithocholate sulfate,glycolithocholate sulfate,0.7767,0.0772882394 
271,Glycyl-glycine,glycylglycine,0.3753,0.0000000000 
272,glycylisoleucine,glycylisoleucine,0.8413,0.0461829811 
273,Glycyl-leucine,glycylleucine,1.1366,0.2330279255 
274,glycyllysine,glycyllysine,1.0209,0.8624734072 
275,glycylmethionine,glycylmethionine,1.7793,0.0000191900 
276,glycylphenylalanine,glycylphenylalanine,1.7208,0.0004391942 
277,glycylproline,glycylproline,1.6823,0.0000000000 
278,glycylthreonine,glycylthreonine,0.3045,0.0000000000 
279,glycyltryptophan,glycyltryptophan,1.536,0.0015700832 
280,glycyltyrosine,glycyltyrosine,1.5022,0.0000130049 
281,glycylvaline,glycylvaline,0.4014,0.0000000000 
282,Guanidinoacetate,guanidinoacetate,0.7839,0.1339568133 
283,Guanine,guanine,0.6431,0.4508060166 
284,Guanosine,guanosine,1.8483,0.0000000000 
285,GMP,guanosine 5'- monophosphate,2.8539,0.0000000000 
286,Gulonolactone,"gulono-1,4-lactone",0.4925,0.0000000000 
287,heme,heme,1.6975,0.1069953048 
288,hexanoylcarnitine,hexanoylcarnitine,1.4947,0.0001025931 
289,hippurate,hippurate,0.1007,0.0000000000 
290,histamine,histamine,1.8462,0.0000003549 
291,His,histidine,0.496,0.0000000000 
292,histidylleucine,histidylleucine,3.0381,0.0000000004 
293,histidylmethionine,histidylmethionine,1.9139,0.0024757789 
294,histidylphenylalanine,histidylphenylalanine,2.1148,0.0000948725 
295,histidyltryptophan,histidyltryptophan,1.2777,0.0898848124 
296,histidyltyrosine,histidyltyrosine,1.3048,0.5076767763 
297,homocysteine,homocysteine,1.115,0.4799422412 
298,L-Homoserine,homoserine,1.4815,0.0002132218 
299,stachydrine,homostachydrine,1.2732,0.2911872529 
300,hydantoin-5-propionic acid,hydantoin-5-propionic acid,,
301,hydrochlorothiazide,hydrochlorothiazide,,
302,hypotaurine,hypotaurine,1.7183,0.0000876614 
303,Hypoxanthine,hypoxanthine,0.5904,0.0000000000 
304,imidazole propionate,imidazole propionate,1.0148,0.9427581669 
305,Indole-3-acetic acid,indoleacetate,0.2794,0.0000000000 
306,Indolelactate,indolelactate,0.9529,0.6139011371 
307,Inosine,inosine,1.2696,0.0000000003 
308,myo-Inositol 1-phosphate,inositol 1-phosphate,0.4004,0.0000000000 
311,isobutyrylcarnitine,isobutyrylcarnitine,0.6661,0.0033726081 
312,isoleucine,isoleucine,0.5547,0.0000000000 
313,isoleucylalanine,isoleucylalanine,2.0966,0.0000196951 
314,isoleucylarginine,isoleucylarginine,1.1814,0.3699564264 
315,isoleucylglutamate,isoleucylglutamate,1.2681,0.1128468754 
316,isoleucylglycine,isoleucylglycine,0.806,0.0644863421 
317,isoleucylhistidine,isoleucylhistidine,0.6672,0.0010797149 
318,isoleucylisoleucine,isoleucylisoleucine,2.4469,0.0001194362 
319,isoleucylmethionine,isoleucylmethionine,3.6855,0.0000632532 
320,isoleucylphenylalanine,isoleucylphenylalanine,3.4455,0.0000010655 
321,isoleucylserine,isoleucylserine,2.0057,0.0000859890 
322,isoleucyltryptophan,isoleucyltryptophan,2.8343,0.0001654924 
323,isoleucyltyrosine,isoleucyltyrosine,2.9575,0.0000033095 
324,isoleucylvaline,isoleucylvaline,1.9496,0.0020524148 
325,isovalerylcarnitine,isovalerylcarnitine,0.3093,0.0000000000 
326,kynurenine,kynurenine,7.9146,0.0000000000 
327,Lactate,lactate,1.4991,0.0000000000 
328,Dodecanoic acid,laurate,0.7962,0.0000075104 
329,laurylcarnitine,laurylcarnitine,1.1618,0.3260747489 
330,leucine,leucine,0.5885,0.0000000000 
331,leucylalanine,leucylalanine,2.5677,0.0000021934 
332,leucylarginine,leucylarginine,1.6497,0.0046529740 
333,leucylasparagine,leucylasparagine,2.1974,0.0000006629 
334,Leu-glu,leucylglutamate,2.6726,0.0000029893 
335,Leucyl-Glycine,leucylglycine,2.5476,0.0000106849 
336,leucylhistidine,leucylhistidine,0.9639,0.9057046229 
337,leucylleucine,leucylleucine,3.5216,0.0000001235 
338,leucylmethionine,leucylmethionine,1.5444,0.0065570299 
339,leucylphenylalanine,leucylphenylalanine,1.8422,0.0000255097 
340,leucylserine,leucylserine,3.0817,0.0000131192 
341,leucyltryptophan,leucyltryptophan,1.1528,0.2274334806 
342,leucyltyrosine,leucyltyrosine,1.5156,0.0199277901 
343,lidocaine,lidocaine,1.3453,0.1732075870 
344,linoleate,linoleate,1.3515,0.0000000020 
345,alpha-Linolenic acid,linolenate,1.678,0.0000000002 
346,lipitor,lipitor,,
347,L-urobilin,L-urobilin,0.3268,0.0139059650 
348,lysine,lysine,0.6431,0.0000000000 
349,lysylleucine,lysylleucine,2.5058,0.0000014097 
350,lysyllysine,lysyllysine,1.1916,0.0096354403 
351,lysylmethionine,lysylmethionine,1.1247,0.4940867014 
352,lysyltyrosine,lysyltyrosine,3.7429,0.0000020460 
353,Malic acid,malate,0.4938,0.0000000000 
